"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"1","Biscoe",46.1,13.2,211,4500,"FEMALE"
"2","Biscoe",50,16.3,230,5700,"MALE"
"3","Biscoe",48.7,14.1,210,4450,"FEMALE"
"4","Biscoe",50,15.2,218,5700,"MALE"
"5","Biscoe",47.6,14.5,215,5400,"MALE"
"6","Biscoe",46.5,13.5,210,4550,"FEMALE"
"7","Biscoe",45.4,14.6,211,4800,"FEMALE"
"8","Biscoe",46.7,15.3,219,5200,"MALE"
"9","Biscoe",43.3,13.4,209,4400,"FEMALE"
"10","Biscoe",46.8,15.4,215,5150,"MALE"
"11","Biscoe",40.9,13.7,214,4650,"FEMALE"
"12","Biscoe",49,16.1,216,5550,"MALE"
"13","Biscoe",45.5,13.7,214,4650,"FEMALE"
"14","Biscoe",48.4,14.6,213,5850,"MALE"
"15","Biscoe",45.8,14.6,210,4200,"FEMALE"
"16","Biscoe",49.3,15.7,217,5850,"MALE"
"17","Biscoe",42,13.5,210,4150,"FEMALE"
"18","Biscoe",49.2,15.2,221,6300,"MALE"
"19","Biscoe",46.2,14.5,209,4800,"FEMALE"
"20","Biscoe",48.7,15.1,222,5350,"MALE"
"21","Biscoe",50.2,14.3,218,5700,"MALE"
"22","Biscoe",45.1,14.5,215,5000,"FEMALE"
"23","Biscoe",46.5,14.5,213,4400,"FEMALE"
"24","Biscoe",46.3,15.8,215,5050,"MALE"
"25","Biscoe",42.9,13.1,215,5000,"FEMALE"
"26","Biscoe",46.1,15.1,215,5100,"MALE"
"27","Biscoe",47.8,15,215,5650,"MALE"
"28","Biscoe",48.2,14.3,210,4600,"FEMALE"
"29","Biscoe",50,15.3,220,5550,"MALE"
"30","Biscoe",47.3,15.3,222,5250,"MALE"
"31","Biscoe",42.8,14.2,209,4700,"FEMALE"
"32","Biscoe",45.1,14.5,207,5050,"FEMALE"
"33","Biscoe",59.6,17,230,6050,"MALE"
"34","Biscoe",49.1,14.8,220,5150,"FEMALE"
"35","Biscoe",48.4,16.3,220,5400,"MALE"
"36","Biscoe",42.6,13.7,213,4950,"FEMALE"
"37","Biscoe",44.4,17.3,219,5250,"MALE"
"38","Biscoe",44,13.6,208,4350,"FEMALE"
"39","Biscoe",48.7,15.7,208,5350,"MALE"
"40","Biscoe",42.7,13.7,208,3950,"FEMALE"
"41","Biscoe",49.6,16,225,5700,"MALE"
"42","Biscoe",45.3,13.7,210,4300,"FEMALE"
"43","Biscoe",49.6,15,216,4750,"MALE"
"44","Biscoe",50.5,15.9,222,5550,"MALE"
"45","Biscoe",43.6,13.9,217,4900,"FEMALE"
"46","Biscoe",45.5,13.9,210,4200,"FEMALE"
"47","Biscoe",50.5,15.9,225,5400,"MALE"
"48","Biscoe",44.9,13.3,213,5100,"FEMALE"
"49","Biscoe",45.2,15.8,215,5300,"MALE"
"50","Biscoe",46.6,14.2,210,4850,"FEMALE"
"51","Biscoe",48.5,14.1,220,5300,"MALE"
"52","Biscoe",45.1,14.4,210,4400,"FEMALE"
"53","Biscoe",50.1,15,225,5000,"MALE"
"54","Biscoe",46.5,14.4,217,4900,"FEMALE"
"55","Biscoe",45,15.4,220,5050,"MALE"
"56","Biscoe",43.8,13.9,208,4300,"FEMALE"
"57","Biscoe",45.5,15,220,5000,"MALE"
"58","Biscoe",43.2,14.5,208,4450,"FEMALE"
"59","Biscoe",50.4,15.3,224,5550,"MALE"
"60","Biscoe",45.3,13.8,208,4200,"FEMALE"
"61","Biscoe",46.2,14.9,221,5300,"MALE"
"62","Biscoe",45.7,13.9,214,4400,"FEMALE"
"63","Biscoe",54.3,15.7,231,5650,"MALE"
"64","Biscoe",45.8,14.2,219,4700,"FEMALE"
"65","Biscoe",49.8,16.8,230,5700,"MALE"
"66","Biscoe",49.5,16.2,229,5800,"MALE"
"67","Biscoe",43.5,14.2,220,4700,"FEMALE"
"68","Biscoe",50.7,15,223,5550,"MALE"
"69","Biscoe",47.7,15,216,4750,"FEMALE"
"70","Biscoe",46.4,15.6,221,5000,"MALE"
"71","Biscoe",48.2,15.6,221,5100,"MALE"
"72","Biscoe",46.5,14.8,217,5200,"FEMALE"
"73","Biscoe",46.4,15,216,4700,"FEMALE"
"74","Biscoe",48.6,16,230,5800,"MALE"
"75","Biscoe",47.5,14.2,209,4600,"FEMALE"
"76","Biscoe",51.1,16.3,220,6000,"MALE"
"77","Biscoe",45.2,13.8,215,4750,"FEMALE"
"78","Biscoe",45.2,16.4,223,5950,"MALE"
"79","Biscoe",49.1,14.5,212,4625,"FEMALE"
"80","Biscoe",52.5,15.6,221,5450,"MALE"
"81","Biscoe",47.4,14.6,212,4725,"FEMALE"
"82","Biscoe",50,15.9,224,5350,"MALE"
"83","Biscoe",44.9,13.8,212,4750,"FEMALE"
"84","Biscoe",50.8,17.3,228,5600,"MALE"
"85","Biscoe",43.4,14.4,218,4600,"FEMALE"
"86","Biscoe",51.3,14.2,218,5300,"MALE"
"87","Biscoe",47.5,14,212,4875,"FEMALE"
"88","Biscoe",52.1,17,230,5550,"MALE"
"89","Biscoe",47.5,15,218,4950,"FEMALE"
"90","Biscoe",52.2,17.1,228,5400,"MALE"
"91","Biscoe",45.5,14.5,212,4750,"FEMALE"
"92","Biscoe",49.5,16.1,224,5650,"MALE"
"93","Biscoe",44.5,14.7,214,4850,"FEMALE"
"94","Biscoe",50.8,15.7,226,5200,"MALE"
"95","Biscoe",49.4,15.8,216,4925,"MALE"
"96","Biscoe",46.9,14.6,222,4875,"FEMALE"
"97","Biscoe",48.4,14.4,203,4625,"FEMALE"
"98","Biscoe",51.1,16.5,225,5250,"MALE"
"99","Biscoe",48.5,15,219,4850,"FEMALE"
"100","Biscoe",55.9,17,228,5600,"MALE"
"101","Biscoe",47.2,15.5,215,4975,"FEMALE"
"102","Biscoe",49.1,15,228,5500,"MALE"
"103","Biscoe",46.8,16.1,215,5500,"MALE"
"104","Biscoe",41.7,14.7,210,4700,"FEMALE"
"105","Biscoe",53.4,15.8,219,5500,"MALE"
"106","Biscoe",43.3,14,208,4575,"FEMALE"
"107","Biscoe",48.1,15.1,209,5500,"MALE"
"108","Biscoe",50.5,15.2,216,5000,"FEMALE"
"109","Biscoe",49.8,15.9,229,5950,"MALE"
"110","Biscoe",43.5,15.2,213,4650,"FEMALE"
"111","Biscoe",51.5,16.3,230,5500,"MALE"
"112","Biscoe",46.2,14.1,217,4375,"FEMALE"
"113","Biscoe",55.1,16,230,5850,"MALE"
"114","Biscoe",48.8,16.2,222,6000,"MALE"
"115","Biscoe",47.2,13.7,214,4925,"FEMALE"
"116","Biscoe",46.8,14.3,215,4850,"FEMALE"
"117","Biscoe",50.4,15.7,222,5750,"MALE"
"118","Biscoe",45.2,14.8,212,5200,"FEMALE"
"119","Biscoe",49.9,16.1,213,5400,"MALE"
